,wlbEntryDate,wlbDiscovery
1701,05.12.2011,7220/7-1 JOHAN CASTBERG
1702,02.10.2013,7220/7-2 S (Skavl)
1704,27.02.2011,7220/8-1 JOHAN CASTBERG
1705,13.08.2012,7220/10-1 (Salina)
1706,05.08.2014,7220/11-1 (Alta)
1713,07.01.2008,7222/6-1 S (Obesum)
1714,24.08.2008,7222/11-1 (Caurus)
1715,14.01.2014,7222/11-2 (Langlitinden)
1716,05.12.2008,7223/5-1
1718,22.07.2008,7224/6-1 (Arenaria)
1720,30.04.2011,7225/3-1 (Norvarg)
1722,18.05.2008,7226/2-1 (Ververis)
1723,22.10.1987,7226/11-1
1729,08.01.2001,7228/7-1 (Pandora)
1734,21.07.1992,7316/5-1
1735,19.08.2014,7319/12-1 (Pingvin)
1741,13.04.2014,7324/7-2 (Hanssen)
1743,10.08.2013,7324/8-1 (Wisting)
1745,22.07.2014,7324/9-1 (Mercury)
1747,23.06.2014,7325/1-1 (Atlantis)
